"docid","sentiment","count"
1,"negative",202
1,"positive",1179
2,"negative",166
2,"positive",337
3,"negative",276
3,"positive",1175
4,"negative",243
4,"positive",1276
5,"negative",255
5,"positive",1323
7,"negative",57
7,"positive",2
8,"negative",808
8,"positive",1346
9,"negative",202
9,"positive",1179
10,"negative",8
10,"positive",25
