"ID","SDG","weight"
1,"poverty",NA
2,"hunger",NA
3,"health",6
4,"education",2
5,"gender",93
6,"clean",3
7,"energy",12
8,"work",67
9,"industry",6
10,"inequalities",NA
11,"cities",1
12,"consumption",1
13,"climate",154
14,"water",86
15,"land",31
16,"peace",1
