"ID","SDG","weight"
1,"poverty",10
2,"hunger",2
3,"health",219
4,"education",6
5,"gender",1
6,"clean",22
7,"energy",1115
8,"work",318
9,"industry",55
10,"inequalities",1
11,"cities",137
12,"consumption",38
13,"climate",17802
14,"water",2399
15,"land",3341
16,"peace",3
