"ID","SDG","weight"
1,"poverty",NA
2,"hunger",NA
3,"health",NA
4,"education",NA
5,"gender",NA
6,"clean",NA
7,"energy",NA
8,"work",NA
9,"industry",NA
10,"inequalities",NA
11,"cities",NA
12,"consumption",NA
13,"climate",NA
14,"water",NA
15,"land",NA
16,"peace",NA
