"ID","SDG","weight"
1,"poverty",5
2,"hunger",1
3,"health",8
4,"education",1
5,"gender",46
6,"clean",2
7,"energy",8
8,"work",62
9,"industry",NA
10,"inequalities",NA
11,"cities",1
12,"consumption",1
13,"climate",131
14,"water",49
15,"land",47
16,"peace",4
