"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
0,0,0,0,0,0,0,0,0,0
1,3,1,2,4,2,1,7,2,14
0,0,0,0,0,0,0,0,0,0
8,17,4,11,11,12,9,17,25,33
11,20,9,17,15,11,9,32,31,56
5,9,1,5,1,3,4,13,12,30
7,13,4,11,12,8,2,20,17,35
8,15,5,14,8,9,2,22,16,46
1,3,1,3,2,3,2,13,5,27
2,1,2,4,0,3,1,0,4,0
0,2,1,2,4,3,0,3,5,10
1,5,1,2,3,2,1,2,4,8
0,4,0,1,4,2,2,3,5,13
3,4,1,6,4,4,0,5,8,9
1,2,0,1,3,1,0,4,3,6
0,1,0,1,2,1,0,3,3,7
2,3,0,3,2,4,2,3,6,11
2,3,1,1,1,3,1,1,7,9
1,2,0,2,2,3,0,2,4,5
0,3,2,3,3,3,0,4,4,8
1,6,1,1,2,0,0,5,4,7
1,5,1,4,4,1,2,4,5,8
1,1,2,3,2,1,1,3,5,4
2,2,1,3,1,2,0,5,5,6
0,3,1,2,2,1,1,6,3,11
0,1,0,1,0,1,0,2,2,5
1,1,1,4,1,5,0,2,5,5
6,16,4,10,10,10,3,11,16,18
5,9,2,7,4,5,2,5,11,15
3,12,4,9,9,11,3,14,20,28
4,8,5,13,11,13,4,8,20,20
7,15,5,11,7,13,4,13,16,28
9,13,7,16,4,14,6,10,22,14
10,9,3,15,5,14,4,10,21,22
9,13,4,14,6,14,2,12,20,30
3,10,2,8,9,6,1,8,16,20
2,9,0,6,9,6,3,9,12,31
6,12,1,7,12,6,2,10,13,23
6,10,4,11,10,9,1,19,15,31
4,6,2,7,6,6,1,10,15,21
3,8,1,7,8,5,3,20,10,30
6,8,4,10,8,11,3,8,18,21
0,8,1,3,6,3,1,13,6,26
5,8,2,10,3,8,3,5,18,19
6,12,2,7,7,8,5,9,20,21
2,6,1,3,3,4,1,9,11,20
6,11,2,8,5,8,3,10,19,22
7,9,4,17,7,17,3,19,22,32
6,8,2,6,6,9,2,19,13,17
2,8,6,5,1,10,0,10,16,24
2,10,0,4,2,3,2,4,8,17
4,9,4,6,8,7,1,20,13,32
6,12,7,9,7,6,2,14,21,25
4,8,5,9,0,8,3,10,15,17
1,9,1,6,6,2,1,13,3,27
9,9,10,14,8,9,2,20,25,27
8,9,8,16,8,7,2,26,25,34
5,9,6,14,7,7,1,23,22,31
2,6,2,7,7,5,3,17,13,26
13,17,8,23,10,17,4,22,31,30
11,10,7,15,7,11,4,21,25,33
6,8,5,8,3,11,2,22,16,29
3,5,2,3,5,7,2,16,14,18
0,14,1,4,6,5,4,21,9,37
1,2,0,2,5,2,1,8,3,16
0,0,0,0,2,0,0,9,0,10
4,11,1,6,9,2,4,22,5,29
0,1,0,0,0,0,0,2,0,2
