"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
0,1,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,1,0,1
1,1,1,3,0,1,1,8,2,5
2,9,1,6,10,2,8,23,9,35
1,1,1,3,0,1,1,10,2,9
1,7,1,4,3,1,1,19,5,25
2,7,2,6,3,2,2,17,6,29
1,2,1,4,1,1,1,9,3,11
1,4,1,3,3,1,1,13,2,11
2,10,4,8,8,4,6,26,8,37
6,11,3,11,5,6,4,29,14,46
2,8,2,5,8,1,1,25,3,42
2,11,2,5,6,2,2,21,6,31
1,7,1,3,1,1,1,22,2,22
1,9,2,6,4,1,1,13,4,20
2,7,2,4,4,1,2,23,4,23
2,5,2,4,2,2,1,20,4,26
5,8,4,11,4,5,3,23,11,22
4,8,2,8,3,3,1,18,7,27
2,7,3,7,4,1,1,21,8,31
2,4,2,6,5,1,3,17,6,29
2,7,2,4,4,1,1,19,3,22
2,16,2,4,9,1,4,30,4,47
0,0,0,0,0,0,0,0,0,0
1,1,1,3,0,1,1,4,2,0
7,6,5,8,5,6,4,13,15,22
4,10,3,7,4,5,4,20,8,31
5,4,2,8,0,2,1,13,6,21
2,6,2,8,2,3,1,15,7,21
1,6,1,5,0,1,1,10,4,17
4,5,2,6,4,2,3,21,8,29
2,8,2,6,3,1,2,26,4,25
5,9,2,7,5,1,1,26,7,25
2,5,1,5,5,1,3,16,5,25
3,9,2,5,4,1,3,11,5,15
1,6,2,4,2,1,1,16,5,20
2,7,1,4,3,2,1,19,3,27
2,11,2,4,2,3,1,22,5,27
2,5,2,5,3,1,1,20,4,22
4,10,4,4,6,2,3,18,8,24
1,6,3,3,4,2,1,14,5,21
1,5,1,3,4,1,1,15,2,20
3,4,2,5,4,2,1,22,4,33
6,6,5,10,5,2,3,24,15,29
2,7,2,6,3,2,3,20,9,23
1,5,1,4,3,1,1,18,4,33
1,4,2,3,8,2,1,24,4,23
4,5,3,6,4,3,1,17,6,16
4,10,2,9,4,5,2,22,9,27
2,9,1,6,6,2,4,26,8,33
0,3,0,1,2,0,0,13,0,12
0,1,0,0,0,1,0,1,1,2
