"ID","SDG","weight"
1,"poverty",2
2,"hunger",NA
3,"health",9
4,"education",3
5,"gender",89
6,"clean",1
7,"energy",11
8,"work",61
9,"industry",6
10,"inequalities",NA
11,"cities",2
12,"consumption",NA
13,"climate",120
14,"water",96
15,"land",35
16,"peace",NA
