"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
0,1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,9,0,6
7,9,2,11,4,5,4,24,11,29
0,1,0,1,0,0,0,12,0,9
0,7,0,4,5,0,1,21,3,26
1,5,1,3,4,1,1,16,4,23
0,4,0,2,2,0,1,11,3,13
0,4,0,2,3,0,0,13,1,14
8,17,3,13,8,8,4,26,19,34
1,12,1,4,4,1,2,28,5,39
3,18,2,7,11,2,6,25,7,40
0,5,1,6,3,0,3,20,4,19
1,6,0,2,6,1,0,25,7,38
1,6,1,4,5,1,2,25,4,31
0,1,0,1,0,0,0,6,0,2
0,1,0,1,0,0,0,6,0,2
2,8,4,8,4,6,2,21,8,28
0,9,3,6,5,3,1,21,5,27
3,9,1,7,6,2,0,26,7,37
4,15,1,10,8,4,3,29,6,34
2,10,2,5,7,3,4,23,8,32
3,10,4,4,3,3,2,28,7,32
0,2,0,2,4,0,2,19,0,28
2,5,3,4,5,2,1,20,5,18
1,1,0,2,2,0,0,16,2,21
2,12,1,4,11,0,2,29,5,48
2,5,1,3,5,1,0,18,4,32
3,9,2,7,6,4,0,28,8,35
0,8,0,2,7,0,3,28,1,39
2,8,2,6,6,1,3,19,4,32
2,6,3,5,7,3,0,22,9,26
1,7,3,6,6,3,2,27,11,33
1,8,1,4,8,3,0,24,2,31
3,10,1,4,7,1,3,21,4,30
6,9,2,9,6,3,4,21,16,25
2,11,0,5,4,2,2,23,5,27
3,4,2,4,1,2,0,18,5,22
1,7,1,5,5,2,2,21,6,31
3,7,1,6,3,3,1,17,6,22
0,4,0,1,1,0,0,19,2,25
2,10,2,8,6,4,2,22,9,29
0,5,2,7,3,2,2,22,5,23
0,5,0,1,3,0,1,22,0,23
4,6,1,5,3,2,2,26,8,33
2,8,2,4,5,1,3,21,4,27
3,14,0,9,9,1,3,30,11,42
0,10,1,2,4,0,0,27,3,32
2,9,2,2,6,1,0,22,4,38
1,4,1,2,4,2,1,17,3,18
1,4,0,3,2,2,1,19,3,15
0,1,0,0,0,1,0,1,1,2
