"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
0,1,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,1,0,1
1,3,2,3,1,1,1,13,2,9
1,7,1,3,6,1,3,18,1,30
0,1,1,1,1,0,0,7,0,7
1,10,1,5,6,1,1,26,5,40
0,1,0,1,1,0,0,7,1,7
3,9,1,4,8,0,2,14,2,26
4,14,5,8,9,4,1,23,12,44
4,6,4,5,3,2,3,20,10,32
0,10,0,1,3,0,0,21,3,30
2,5,2,4,1,0,2,8,3,20
3,7,2,5,5,0,4,14,4,20
1,4,2,1,3,1,0,12,1,20
1,7,3,2,4,0,0,18,4,20
3,7,2,7,3,3,0,16,6,28
3,7,4,4,6,4,2,12,7,25
2,6,3,6,4,2,1,21,5,27
2,10,2,5,6,3,4,31,7,33
1,10,0,3,11,0,3,30,7,38
1,1,1,3,0,1,1,5,2,1
0,3,2,1,2,0,1,14,4,23
2,14,4,7,6,5,3,19,12,35
3,7,2,7,4,5,1,16,7,28
2,7,3,7,6,5,3,23,6,27
1,4,1,3,2,1,1,9,3,18
1,4,1,3,2,1,1,10,2,21
0,1,0,0,2,0,1,12,1,12
1,4,1,3,5,2,2,15,3,26
4,11,4,6,7,2,2,30,6,35
3,5,3,4,1,1,0,21,6,24
1,4,0,2,4,0,0,10,3,26
1,6,0,3,3,0,1,8,3,12
0,4,0,2,2,0,0,10,2,19
0,5,0,1,2,0,0,13,1,23
1,2,1,2,2,1,0,11,5,17
0,6,1,2,2,2,1,20,1,24
0,10,0,4,10,1,1,18,1,28
0,7,0,2,6,1,0,16,1,26
0,5,0,3,4,0,1,15,2,24
1,10,0,1,4,0,1,23,2,31
2,3,1,2,2,0,0,14,6,27
0,4,1,0,5,0,0,18,0,28
4,5,4,8,1,1,2,16,12,23
1,12,1,5,7,1,6,23,6,33
0,8,1,1,4,0,0,17,2,26
3,4,1,6,2,3,0,10,7,25
0,8,1,1,5,0,2,16,1,18
1,12,4,4,5,1,1,17,4,22
2,10,1,3,6,0,2,27,7,33
1,3,1,1,1,2,1,4,3,4
0,1,0,0,0,1,0,1,1,2
