"ID","SDG","weight"
1,"poverty",1
2,"hunger",NA
3,"health",2
4,"education",NA
5,"gender",NA
6,"clean",NA
7,"energy",4
8,"work",10
9,"industry",NA
10,"inequalities",NA
11,"cities",2
12,"consumption",NA
13,"climate",131
14,"water",9
15,"land",73
16,"peace",NA
