"word","freq"
"climate",17802
"global",9365
"changes",7323
"cmip",7005
"confidence",6954
"warming",6624
"models",6261
"precipitation",5866
"model",5852
"temperature",5615
"ocean",5596
"ipcc",4971
"high",4564
"data",4486
"wgi",4390
"surface",4349
"increase",4281
"distribution",4221
"variability",4123
"section",4105
"final",4042
"mean",4032
"regional",4015
"pages",4003
"government",3939
"ice",3917
"atmospheric",3870
"distribute",3869
"cite",3868
"quote",3865
"journal",3612
"emissions",3596
"research",3541
"sea",3521
"trends",3477
"ssp",3411
"land",3341
"regions",3020
"carbon",2913
"projections",2911
"observed",2811
"simulations",2807
"future",2779
"since",2696
"dois",2692
"forcing",2684
"atlas",2654
"response",2601
"box",2592
"projected",2577
"assessment",2565
"likely",2518
"extremes",2514
"evidence",2459
"low",2443
"level",2407
"compared",2402
"water",2399
"medium",2373
"frequency",2364
"geophysical",2339
"north",2338
"based",2291
"can",2214
"century",2213
"nature",2189
"period",2185
"system",2127
"intensity",2125
"recent",2124
"earth",2112
"events",2110
"see",2108
"letters",2108
"past",2045
"range",2035
"anthropogenic",2027
"time",1993
"historical",1978
"america",1968
"extreme",1965
"observations",1959
"tropical",1933
"used",1920
"due",1895
"using",1872
"scenarios",1812
"assessed",1808
"science",1792
"southern",1781
"relative",1776
"will",1765
"studies",1725
"heat",1713
"ensemble",1707
"atlantic",1704
"annual",1703
"arctic",1687
"uncertainty",1675
"increased",1652
"different",1647
"drought",1626
"dataset",1611
"doigl",1606
"south",1585
"air",1573
"pacific",1567
"circulation",1559
"rainfall",1555
"decrease",1551
"available",1544
"year",1507
"dynamics",1498
"region",1489
"united",1488
"years",1464
"rcp",1464
"monsoon",1452
"large",1447
"doijclid",1445
"estimates",1440
"northern",1437
"summer",1437
"new",1435
"radiative",1430
"show",1418
"increases",1412
"associated",1398
"input",1397
"snow",1367
"aerosol",1363
"influence",1360
"cycle",1351
"across",1342
"end",1327
"processes",1316
"information",1290
"sources",1281
"last",1253
"effects",1253
"levels",1222
"human",1208
"impacts",1178
"central",1171
