"ID","SDG","weight"
1,"poverty",50
2,"hunger",17
3,"health",98
4,"education",29
5,"gender",26
6,"clean",14
7,"energy",60
8,"work",26
9,"industry",7
10,"inequalities",15
11,"cities",25
12,"consumption",27
13,"climate",42
14,"water",66
15,"land",49
16,"peace",6
