"ID","SDG","weight"
1,"poverty",2
2,"hunger",1
3,"health",12
4,"education",7
5,"gender",76
6,"clean",3
7,"energy",10
8,"work",69
9,"industry",2
10,"inequalities",1
11,"cities",4
12,"consumption",5
13,"climate",153
14,"water",87
15,"land",29
16,"peace",4
