"ID","SDG","weight"
1,"poverty",NA
2,"hunger",NA
3,"health",NA
4,"education",NA
5,"gender",NA
6,"clean",NA
7,"energy",NA
8,"work",NA
9,"industry",NA
10,"inequalities",NA
11,"cities",NA
12,"consumption",NA
13,"climate",12
14,"water",1
15,"land",2
16,"peace",NA
