"ID","SDG","weight"
1,"poverty",2
2,"hunger",1
3,"health",0
4,"education",7
5,"gender",0
6,"clean",3
7,"energy",0
8,"work",0
9,"industry",2
10,"inequalities",1
11,"cities",4
12,"consumption",0
13,"climate",0
14,"water",0
15,"land",0
16,"peace",4
