ID,SDGA,SDGB,SDGC,SDGD
1,poverty
2,hunger
3,health,well-being
4,education
5,gender,equality
6,clean,water,sanitation
7,energy,affordable,clean
8,work,economic,growth
9,industry,innovation,infrastructure
10,inequalities,reduce
11,cities,sustainable,communities
12,consumption,production,responsible
13,climate,action
14,water,life,below,ocean
15,land,life
16,peace,justice,institutions,strong
